,C1,C2,G,P,S
Agua ,0,0,0,0,0.01
Taza de café ,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
1 Toreadas,204,24.4,10.3,2.8,0.454
Taza de café ,2,0,0,0,0
6 Gomitas con chile,96,19,0,0,0.001
Boing 200ml,88,22,0,0,0.03
Sopa de pasta ,102,17.93,2.93,3.05,0.75
Bistec ,270,0,4.62,21.91,0.057
Ensalada,17,3.8,0.17,0.87,0.019
Ejotes en salsa,34,7.84,0.13,2,0.007
Pan tostado con crema y mermelada,110,20,1,2,0.095
Pan con queso Philadelphia,54.6,9,0.9,1.7,0.123
Taza de café ,2,0,0,0,0
2 tortas,900,130,27.2,34.8,2.962
100 gr arandanos,57,14.5,0.33,0.74,0.001
2 rollos sushi,660,126,2.4,27.6,1.16
1 tuna,42,9.8,0.53,0.75,0.005
Vasolote,149,37,0,0,0.078
Coca Cola,184,32.42,5.61,2.93,0.122
1 vasolote,155,29.28,7,4.1,0.006
2 hamburguesas,720,60,41,28.3,1.241
Agua ,0,0,0,0,0.01
2 Sandwiches ,600,84,13,32,1.323
Taza de café ,2,0,0,0,0
Arroz,135,29.3,0.29,2.8,0.383
Entomatado ,448,28,16,48,0.206
Hamburguesa,360,30,20.5,14.2,0.6705
2 Cervezas,290,4,0,0,0
2 Galletas,350,40,20,5.4,0.61
Agua ,0,0,0,0,0.01
Taza de café ,2,0,0,0,0
Agua ,0,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Entomatado ,448,28,16,48,0.206
Arroz,135,29.3,0.29,2.8,0.383
Boing 200ml,88,22,0,0,0.03
Agua ,0,0,0,0,0
Taza de café ,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Ejotes en salsa,34,7.84,0.13,2,0.007
6 Cervezas,870,12,0,0,0.084
pozole,228,15.14,10.6,16.23,0.478
3 Quesadillas,341,21.06,19,19,0.871
Entomatado ,448,28,16,48,0.206
Arroz,135,29.3,0.29,2.8,0.383
Agua ,0,0,0,0,0
Tuna  ,42,9.8,0.53,0.75,0.005
Cheetos Flaming Hot ,330,34.2,20,4,0.288
Palomitas,148,17,7.8,2.9,0.25
2 Cervezas ,290,4,0,0,0.028
2 Quesadillas,342,21,20,19,0.818
Café,2,0,0,0,0
Agua ,0,0,0,0,0.01
Coca Cola,184,32.42,5.61,2.93,0.122
2 Filetes carne asada,224,0,14.5,21.6,0.002
100 grs Cacahuates,567,32.2,49.24,25.8,0.003
2 Pedazos de pizza,732,82,31.6,30.8,0.3
50 grs Chorizo,283,2.42,24.8,11.66,0.719
2 cervezas,290,4,0,0,0.028
Pastel,251,35,11,3,0.24
Agua ,0,0,0,0,0.01
Café,2,0,0,0,0.009
Agua ,0,0,0,0,0.01
2 Sandwiches ,600,84,13,32,1.323
1 Manzana,72,19.06,0.23,0.36,0.001
Sopa de pasta ,65,7.4,2.39,3.18,0.868
2 Milanesas,708,27.48,44.82,46.54,0.277
Ensalada,17,3.8,0.17,0.87,0.019
Papas con vinagre,358,27.92,20.5,6.7,0.016
1 Cerverza,145,2,0,0,0.014
Café,2,0,0,0,0.018
Cheetos Flaming Hot ,330,34.2,20,4,0.288
1 Quesadilla ,171,10.5,10,9.5,0.409
Café,2,0,0,0,0
Torta,450,65,13.6,17.4,1.481
Agua ,0,0,0,0,0.01
doritos,144,16.5,7.5,2.5,0.19
Galletas emperador,268,40,11.4,3.8,0.13
Guisado de chambarete,456,0,18.6,67.44,0.148
Arroz ,135,29.3,0.29,2.8,0.383
Coca Cola,184,32.42,5.61,2.93,0.122
Agua ,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Agua ,0,0,0,0,0.01
Guisado de chambarete,456,0,18.6,67.44,0.148
Arroz,135,29.3,0.29,2.8,0.383
Ensalada,17,3.8,0.17,0.87,0.019
2 Milanesas,708,27.48,44.82,46.54,0.277
Papas con vinagre,358,27.92,20.5,6.7,0.016
Sabritas originales,162,16,10.2,1.6,0.083
Café,2,0,0,0,0
Agua ,0,0,0,0,0.01
2 Sandwiches ,600,84,13,32,1.323
2 Milanesas,708,27.48,44.82,46.54,0.277
Ensalada ,17,3.8,0.17,0.87,0.019
Coca Cola,184,32.42,5.61,2.93,0.122
2 Pedazos de pizza,732,82,31.6,30.8,0.3
Cheetos Flaming Hot ,330,34.2,20,4,0.288
Agua ,0,0,0,0,0.01
Café,2,0,0,0,0
Agua ,0,0,0,0,0.01
2 Sandwiches ,600,84,13,32,1.323
2 Piezas de pollo ,320,0,18.21,36.55,0.546
1 Cerverza,145,2,0,0,0.014
Coca Cola,184,32.42,5.61,2.93,0.122
Café,2,0,0,0,0
Agua ,0,0,0,0,0.01
8 tacos de canasta,1032,130.96,45.12,32.24,1.088
6 Tacos de birria,570,48.48,22.02,44.82,0.642
Coca Cola,184,32.42,5.61,2.93,0.122
Pasta carbonara,384,51.7,10.67,16.18,0.432
Empanada maiz,193,19.59,10.7,4.81,0.182
Gin & tonic,171,15.77,0.04,0.04,0.023
3 Tamales,423,33,24,18,1.26
Borrego asado,532,0,36.3,48,0.456
Agua ,0,0,0,0,0.01
2 cervezas,290,4,0,0,0.028
Mollejas de res,198,0,16.16,12.26,0.115
doritos,144,16.5,7.5,2.5,0.19
Agua ,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Sabritas originales,162,16,10.2,1.6,0.083
Galletas emperador,268,40,11.4,3.8,0.13
Entomatado ,448,28,16,48,0.206
frijoles,367,47.74,13.21,15.91,0.711
Coca Cola,184,32.42,5.61,2.93,0.122
Agua ,0,0,0,0,0.01
Café,2,0,0,0,0
Galletas mermelada,472,60,23.4,5.9,0.491
Bego,500,57,19,24,0.4
2 Cervezas,290,4,0,0,0.028
Frijoles ,367,47.74,13.21,15.91,0
Agua ,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Cheetos Flaming Hot ,330,34.2,20,4,0.288
5 Tacos al pastor,465,25,30.6,25,0.39
Hamburguesa,367,47.74,13.21,15.91,0.6705
Agua de horchata,98,24.88,0.05,0.26,0.005
2 Quesadillas,342,21,20,19,0.818
Agua ,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Sopa de pasta ,65,7.4,2.39,3.18,0.868
frijoles,367,47.74,13.21,15.91,0.711
Entomatado ,448,28,16,48,0.206
3 Cervezas,335,6,0,0,0.042
4 cubas,612,64.6,0.4,0.72,0.044
Cochinita pibil,197,8.6,11.5,14.7,0.633
4 Tlacoyos,572,65,37.8,32,0.872
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Huevo,212,2.02,16.18,13.84,0.224
Cochnita pibil,197,8.6,11.5,14.7,0.633
Frijoles,367,47.74,13.21,15.91,0.711
4 Tlacoyos,572,65,37.8,32,0.872
3 Cervezas,335,6,0,0,0.042
Carne Asada,224,0,14.5,21.6,0.002
Arroz ,135,29.3,0.29,2.8,0.383
Ensalada ,17,3.8,0.17,0.87,0.019
8 Cubas,1224,129.2,0.8,1.44,0.088
Pay de queso,330,33.51,19.35,6.93,0.275
Pay de queso ,330,33.51,19.35,6.93,0.275
Café,2,0,0,0,0
Carne Asada,224,0,14.5,21.6,0.002
frijoles,367,47.74,13.21,15.91,0.711
Cochinita pibil,197,8.6,11.5,14.7,0.633
Risotto,356,44.25,13.25,14.02,0.814
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Entomatado ,448,28,16,48,0.206
Arroz,367,47.74,13.21,15.91,0.711
Frijoles,135,29.3,0.29,2.8,0.383
Huevo,212,2.02,16.18,13.84,0.224
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
2 Sandwiches ,600,84,13,32,1.323
Carne Asada,224,0,14.5,21.6,0.002
2 Guayabas,68,14.35,0.95,2.55,0.002
Sabritas originales,162,16,10.2,1.6,0.083
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
2 Sandwiches ,600,84,13,32,1.323
Arroz,367,47.74,13.21,15.91,0.711
Ejotes en salsa,310,71.9,1.2,18.9,0.06
2 Guayabas,68,14.35,0.95,2.55,0.002
Huevo,212,2.02,16.18,13.84,0.224
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
2 Sandwiches ,600,84,13,32,1.323
1 Manzana,72,19.06,0.23,0.36,0.001
Arroz,367,47.74,13.21,15.91,0.711
2 Milanesas,708,27.48,44.82,46.54,0.277
Frijoles,135,29.3,0.29,2.8,0.383
Pay de queso,330,33.51,19.35,6.93,0.275
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
2 Quesadillas,342,21,20,19,0.818
3 Cervezas,335,6,0,0,0.042
Coca Cola,184,32.42,5.61,2.93,0.122
Torta de Mole ,590,12.94,25,14,0.134
Hamburguesa,367,47.74,13.21,15.91,0.6705
Boing 200ml,88,22,0,0,0.03
Pay de queso,330,33.51,19.35,6.93,0.275
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
Bego,500,57,19,24,0.4
2 Cervezas,290,4,0,0,0.028
Discada,728,41.93,45.16,38.13,1.193
Tortitas de papa,214,30.82,8.38,4.15,0.251
Pay de queso,330,33.51,19.35,6.93,0.275
Agua,0,0,0,0,0.01
2 Quesadillas,342,21,20,19,0.818
Boing 200ml,88,22,0,0,0.03
Ensalada ,17,3.8,0.17,0.87,0.019
Frijoles,135,29.3,0.29,2.8,0.383
Sandía ,171,43.04,0.86,3.48,0.006
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
2 Sandwiches ,600,84,13,32,1.323
1 Manzana,72,19.06,0.23,0.36,0.001
Ensalada ,17,3.8,0.17,0.87,0.019
Uvas,106,27.87,0.25,1.11,0.003
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
2 Quesadillas,342,21,20,19,0.818
Sopa de lentejas,223,31.98,5.5,12.52,0.751
Coca Cola,184,32.42,5.61,2.93,0.122
Huevo,212,2.02,16.18,13.84,0.224
Frijoles,135,29.3,0.29,2.8,0.383
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
1 Manzana,72,19.06,0.23,0.36,0.001
Tortitas de papa,214,30.82,8.38,4.15,0.251
Coca Cola,184,32.42,5.61,2.93,0.122
Plátano,107,26.95,0.39,1.29,0.001
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
Frijoles,135,29.3,0.29,2.8,0.383
Sandía ,171,43.04,0.86,3.48,0.006
2 Guayabas,68,14.35,0.95,2.55,0.002
2 Quesadillas,342,21,20,19,0.818
Agua,0,0,0,0,0.01
Plátano,107,26.95,0.39,1.29,0.001
Sandía ,171,43.04,0.86,3.48,0.006
Plátano,107,26.95,0.39,1.29,0.001
Te chai,200,34,6,6,0.08
Plátano,107,26.95,0.39,1.29,0.001
Agua,0,0,0,0,0.01
Uvas,106,27.87,0.25,1.11,0.003
Plátano,107,26.95,0.39,1.29,0.001
1 Manzana,72,19.06,0.23,0.36,0.001
Huevo,212,2.02,16.18,13.84,0.224
Frijoles,135,29.3,0.29,2.8,0.383
Helado,267,32.45,15,4.68,0.098
2 Guayabas,68,14.35,0.95,2.55,0.002
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
5 Tacos al pastor,465,25,30.6,25,0.39
Hamburguesa,367,47.74,13.21,15.91,0.6705
Dona ,192,22.86,10.3,2.34,0.181
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Coca Cola,184,32.42,5.61,2.93,0.122
Carne Asada,224,0,14.5,21.6,0.002
Gelatina,149,34.06,0,2.93,0.18
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
1 Manzana,72,19.06,0.23,0.36,0.001
Caldo de pollo,182,20.82,6.91,8.79,1.5
Frijoles,367,47.74,13.21,15.91,0.711
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Entomatadas,255,34.15,9.06,10.9,0.362
Coca Cola,184,32.42,5.61,2.93,0.122
Sandía ,171,43.04,0.86,3.48,0.006
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Cupcake ,227,29.77,10.93,3.03,0.201
Caldo de pollo,182,20.82,6.91,8.79,1.5
Hamburguesa,367,47.74,13.21,15.91,0.6705
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Huevo,212,2.02,16.18,13.84,0.224
Frijoles,135,29.3,0.29,2.8,0.383
Yakimeshi,403,52.11,14.59,14.33,0.716
Carnitas ,284,1.51,22.7,17.75,0.336
2 Quesadillas,342,21,20,19,0.818
Café,2,0,0,0,0
Carne Asada ,224,0,14.5,21.6,0.002
Piña ,74,19.78,0.19,0.84,0.002
2 Cerverzas ,290,4,0,0,0.028
Mezcal,237,0,0,0,0.002
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Huevo,212,2.02,16.18,13.84,0.224
Ejotes en salsa,310,71.9,1.2,18.9,0.06
Frijoles,135,29.3,0.29,2.8,0.383
Arroz,367,47.74,13.21,15.91,0.711
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Coca Cola,184,32.42,5.61,2.93,0.122
Caldo de pollo,182,20.82,6.91,8.79,1.5
Pay de queso,330,33.51,19.35,6.93,0.275
1 Manzana,72,19.06,0.23,0.36,0.001
Plátano,107,26.95,0.39,1.29,0.001
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Boing 200ml,88,22,0,0,0.03
2 Milanesas,708,27.48,44.82,46.54,0.277
Hamburguesa,367,47.74,13.21,15.91,0.6705
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Sabritas originales,162,16,10.2,1.6,0.083
Carne Asada,224,0,14.5,21.6,0.002
Pay de queso,330,33.51,19.35,6.93,0.275
Coca Cola,184,32.42,5.61,2.93,0.122
2 Cervezas,290,4,0,0,0.028
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
2 Cervezas,290,4,0,0,0.028
4 cubas,612,64.6,0.4,0.72,0.044
Cheetos Flaming Hot ,330,34.2,20,4,0.288
Huevo,212,2.02,16.18,13.84,0.224
Frijoles,135,29.3,0.29,2.8,0.383
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Carne Asada,224,0,14.5,21.6,0.002
Pay de queso,330,33.51,19.35,6.93,0.275
Pay de queso,330,33.51,19.35,6.93,0.275
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Carne Asada,224,0,14.5,21.6,0.002
2 Cervezas,290,4,0,0,0.028
Pay de queso,330,33.51,19.35,6.93,0.275
Uvas,106,27.87,0.25,1.11,0.003
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Uvas,106,27.87,0.25,1.11,0.003
2 Sandwiches ,600,84,13,32,1.323
Piña ,74,19.78,0.19,0.84,0.002
Coca Cola,184,32.42,5.61,2.93,0.122
Sopa de lentejas,223,31.98,5.5,12.52,0.751
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Uvas,106,27.87,0.25,1.11,0.003
2 Cervezas,290,4,0,0,0.028
Caldo de pollo,182,20.82,6.91,8.79,1.5
Entomatado ,448,28,16,48,0.206
Cheetos Flaming Hot ,330,34.2,20,4,0.288
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Pasta carbonara,384,51.7,10.67,16.18,0.432
Coca Cola,184,32.42,5.61,2.93,0.122
1 Manzana,72,19.06,0.23,0.36,0.001
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Hamburguesa,367,47.74,13.21,15.91,0.6705
Coca Cola,184,32.42,5.61,2.93,0.122
2 Cervezas,290,4,0,0,0.028
Sabritas originales,162,16,10.2,1.6,0.083
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Dulce Foot,80,17,1,0,0.045
Salpicon,243,5.42,15.91,18.96,0.191
Coca Cola,184,32.42,5.61,2.93,0.122
1 Manzana,72,19.06,0.23,0.36,0.001
Agua,0,0,0,0,0.01
2 Quesadillas,342,21,20,19,0.818
Ejotes en salsa,34,7.84,0.13,2,0.007
Bistec ,270,0,4.62,21.91,0.057
Coca Cola,184,32.42,5.61,2.93,0.122
Dulce Foot,80,17,1,0,0.045
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Pan con queso Philadelphia,54.6,9,0.9,1.7,0.123
Entomatado ,448,28,16,48,0.206
Frijoles,135,29.3,0.29,2.8,0.383
Carne Asada,224,0,14.5,21.6,0.002
Pay de queso,330,33.51,19.35,6.93,0.275
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Bego,500,57,19,24,0.4
Tortitas de papa,214,30.82,8.38,4.15,0.251
Frapuccino,215,42,3,4,0.12
Sopa de lentejas,223,31.98,5.5,12.52,0.751
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Plátano,107,26.95,0.39,1.29,0.001
2 Cerverzas ,290,4,0,0,0.028
Mollete,255,39.32,6.47,9.54,0.604
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Dulce Foot,80,17,1,0,0.045
Cupcake ,227,29.77,10.93,3.03,0.201
2 Cerverzas ,290,4,0,0,0.028
2 Quesadillas,342,21,20,19,0.818
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Coca Cola,184,32.42,5.61,2.93,0.122
2 Sandwiches ,600,84,13,32,1.323
Caldo de pollo,182,20.82,6.91,8.79,1.5
Hamburguesa,367,47.74,13.21,15.91,0.6705
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Yakimeshi,403,52.11,14.59,14.33,0.716
2 Quesadillas,342,21,20,19,0.818
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Ensalada ,17,3.8,0.17,0.87,0.019
Coca Cola,184,32.42,5.61,2.93,0.122
Pay de queso,330,33.51,19.35,6.93,0.275
2 Cervezas,290,4,0,0,0.028
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
5 Tacos al pastor,465,25,30.6,25,0.39
Coca Cola,184,32.42,5.61,2.93,0.122
2 Quesadillas,342,21,20,19,0.818
Arroz,367,47.74,13.21,15.91,0.711
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Piña ,74,19.78,0.19,0.84,0.002
Tortitas de papa,214,30.82,8.38,4.15,0.251
Coca Cola,184,32.42,5.61,2.93,0.122
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Caldo de pollo,182,20.82,6.91,8.79,1.5
2 Quesadillas,342,21,20,19,0.818
1 Toreadas,204,24.4,10.3,2.8,0.454
Coca Cola,184,32.42,5.61,2.93,0.122
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Plátano,107,26.95,0.39,1.29,0.001
Pan con queso Philadelphia,54.6,9,0.9,1.7,0.123
Ensalada ,17,3.8,0.17,0.87,0.019
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Plátano,107,26.95,0.39,1.29,0.001
3 Tamales,423,33,24,18,1.26
Coca Cola,184,32.42,5.61,2.93,0.122
Boing 200ml,88,22,0,0,0.03
Te chai,200,34,6,6,0.08
Plátano,107,26.95,0.39,1.29,0.001
Agua,0,0,0,0,0.01
Uvas,106,27.87,0.25,1.11,0.003
Coca Cola,184,32.42,5.61,2.93,0.122
Hamburguesa,367,47.74,13.21,15.91,0.6705
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Pasta carbonara,384,51.7,10.67,16.18,0.432
Pay de queso,330,33.51,19.35,6.93,0.275
2 Cerverzas ,290,4,0,0,0.028
Mezcal,237,0,0,0,0.002
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
4 cubas,612,64.6,0.4,0.72,0.044
Sabritas originales,162,16,10.2,1.6,0.083
Entomatado ,448,28,16,48,0.206
Hamburguesa,367,47.74,13.21,15.91,0.6705
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Uvas,106,27.87,0.25,1.11,0.003
Mango,135,35.19,0.56,1.06,0.004
Bistec ,270,0,4.62,21.91,0.057
Ejotes en salsa,310,71.9,1.2,18.9,0.06
Tortitas de papa,214,30.82,8.38,4.15,0.251
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Bistec ,270,0,4.62,21.91,0.057
Sopa de lentejas,223,31.98,5.5,12.52,0.751
Sabritas originales,162,16,10.2,1.6,0.083
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Hamburguesa,367,47.74,13.21,15.91,0.6705
4 cubas,612,64.6,0.4,0.72,0.044
2 Quesadillas,342,21,20,19,0.818
Mango,135,35.19,0.56,1.06,0.004
Agua,0,0,0,0,0.01
Te chai,200,34,6,6,0.08
Bego,500,57,19,24,0.4
Entomatado ,448,28,16,48,0.206
Yakimeshi,403,52.11,14.59,14.33,0.716
Coca Cola,184,32.42,5.61,2.93,0.122
Agua,0,0,0,0,0.01
Te chai,200,34,6,6,0.08
Bego,500,57,19,24,0.4
5 Tacos al pastor,465,25,30.6,25,0.39
2 Cervezas,290,4,0,0,0.028
5 Tacos al pastor,465,25,30.6,25,0.39
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Huevo,212,2.02,16.18,13.84,0.224
Discada,728,41.93,45.16,38.13,1.193
4 cubas,612,64.6,0.4,0.72,0.044
2 Cervezas,290,4,0,0,0.028
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Pay de queso,330,33.51,19.35,6.93,0.275
Yakimeshi,403,52.11,14.59,14.33,0.716
Coca Cola,184,32.42,5.61,2.93,0.122
2 Quesadillas,342,21,20,19,0.818
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Piña ,74,19.78,0.19,0.84,0.002
Plátano,107,26.95,0.39,1.29,0.001
Ensalada ,17,3.8,0.17,0.87,0.019
Uvas,106,27.87,0.25,1.11,0.003
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Yakimeshi,403,52.11,14.59,14.33,0.716
2 Quesadillas,342,21,20,19,0.818
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Pasta carbonara,384,51.7,10.67,16.18,0.432
Coca Cola,184,32.42,5.61,2.93,0.122
1 Manzana,72,19.06,0.23,0.36,0.001
Café,2,0,0,0,0
Torta,450,65,13.6,17.4,1.481
Agua ,0,0,0,0,0.01
doritos,144,16.5,7.5,2.5,0.19
Galletas emperador,268,40,11.4,3.8,0.13
Guisado de chambarete,456,0,18.6,67.44,0.148
Agua ,0,0,0,0,0.01
Café,2,0,0,0,0.009
Agua ,0,0,0,0,0.01
2 Sandwiches ,600,84,13,32,1.323
1 Manzana,72,19.06,0.23,0.36,0.001
Sopa de pasta ,65,7.4,2.39,3.18,0.868
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Entomatado ,448,28,16,48,0.206
Arroz,367,47.74,13.21,15.91,0.711
Frijoles,135,29.3,0.29,2.8,0.383
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Uvas,106,27.87,0.25,1.11,0.003
Mango,135,35.19,0.56,1.06,0.004
Bistec ,270,0,4.62,21.91,0.057
Ejotes en salsa,310,71.9,1.2,18.9,0.06
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
2 Sandwiches ,600,84,13,32,1.323
Yakimeshi,403,52.11,14.59,14.33,0.716
Coca Cola,184,32.42,5.61,2.93,0.122
Pan con queso Philadelphia,54.6,9,0.9,1.7,0.123
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Cheetos Flaming Hot ,330,34.2,20,4,0.288
Bego,500,57,19,24,0.4
Ensalada ,17,3.8,0.17,0.87,0.019
Uvas,106,27.87,0.25,1.11,0.003
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
Dulce Foot,80,17,1,0,0.045
Bego,500,57,19,24,0.4
Hamburguesa,367,47.74,13.21,15.91,0.6705
Coca Cola,184,32.42,5.61,2.93,0.122
Te chai,200,34,6,6,0.08
Agua,0,0,0,0,0.01
Ensalada ,17,3.8,0.17,0.87,0.019
Hamburguesa,367,47.74,13.21,15.91,0.6705
Café,2,0,0,0,0
Plátano,107,26.95,0.39,1.29,0.001
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Bego,500,57,19,24,0.4
2 Sandwiches ,600,84,13,32,1.323
Te chai,200,34,6,6,0.08
Guisado de chambarete,456,0,18.6,67.44,0.148
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
5 Tacos al pastor,465,25,30.6,25,0.39
Pasta carbonara,384,51.7,10.67,16.18,0.432
4 cubas,612,64.6,0.4,0.72,0.044
2 Cervezas,290,4,0,0,0.028
Huevo,212,2.02,16.18,13.84,0.224
2 Quesadillas,342,21,20,19,0.818
Agua,0,0,0,0,0.01
Café,2,0,0,0,0
Te chai,200,34,6,6,0.08
Yakimeshi,403,52.11,14.59,14.33,0.716
